timestamp,request_count,free_heap,uptime_sec,rssi,cpu_temp,cpu_total,cpu_core0,cpu_core1
2026-07-24T03:16:58.937,1,212572,564,-42,46.1,2.9,3.8,1.9
2026-07-24T03:17:00.090,1,212580,565,-39,46.1,2.7,3.5,1.9
2026-07-24T03:17:01.322,1,212580,566,-38,46.1,2.9,3.8,2.0
2026-07-24T03:17:02.509,1,212580,567,-37,46.1,3.0,4.0,2.0
2026-07-24T03:17:03.641,1,212568,568,-39,46.7,2.8,3.6,1.9
2026-07-24T03:17:04.783,1,212556,569,-38,46.1,2.9,3.7,2.0
2026-07-24T03:17:05.894,1,212568,570,-39,46.1,2.8,3.5,2.1
2026-07-24T03:17:07.024,1,212580,572,-39,46.1,1.9,3.1,0.8
2026-07-24T03:17:08.279,1,212568,573,-40,46.1,2.8,3.7,2.0
2026-07-24T03:17:10.635,1,212568,574,-37,46.7,3.0,3.9,2.1
2026-07-24T03:17:11.865,1,212576,576,-37,46.1,2.0,3.2,0.9
2026-07-24T03:17:13.194,1,212580,578,-37,46.1,1.4,2.7,0.2
2026-07-24T03:17:14.422,1,212568,579,-36,46.1,2.9,3.8,2.0
2026-07-24T03:17:15.652,1,212332,580,-38,46.1,3.1,4.1,2.1
2026-07-24T03:17:16.982,1,212560,581,-39,46.1,3.0,4.0,1.9
2026-07-24T03:17:18.315,1,212556,583,-40,46.1,1.9,3.0,0.8
2026-07-24T03:17:19.505,1,212544,584,-36,46.1,3.1,4.0,2.1
2026-07-24T03:17:20.673,1,212580,585,-37,46.1,2.8,3.7,2.0
2026-07-24T03:17:21.880,1,212576,586,-37,46.1,3.1,4.3,2.0
2026-07-24T03:17:23.023,1,212580,588,-38,46.7,2.0,3.0,0.9
2026-07-24T03:17:24.237,1,212576,589,-36,46.7,3.0,3.9,2.0
2026-07-24T03:17:25.342,1,212568,590,-37,46.1,2.9,3.8,2.1
2026-07-24T03:17:26.512,1,212568,591,-36,46.7,2.9,3.7,2.0
2026-07-24T03:17:27.747,1,212580,592,-38,46.7,2.9,3.9,2.0
2026-07-24T03:17:28.937,1,212580,594,-36,46.7,3.1,4.1,2.1
2026-07-24T03:17:30.091,1,212584,595,-40,46.1,2.7,3.3,2.1
2026-07-24T03:17:31.327,1,212580,596,-37,46.7,3.5,4.9,2.1
